Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,,實數,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"659,312","629,556","598,574","643,938",4.73,10.15,11.78
,每日平均延人公里,人公里,"31,767,786","28,440,708","28,188,994","30,048,796",11.70,12.70,8.02
,每日平均客運收入,元,"51,947,483","45,147,583","44,039,354","48,434,201",15.06,17.96,8.70
,每旅客平均運程,公里,48.2,45.2,47.1,46.7,6.66,2.31,-3.36
,平均每日每公里客運密度,人,"30,038","26,892","26,654","28,412",11.70,12.70,8.02
,每日平均客車公里,公里,"1,142,889","1,126,086","1,070,821","1,134,207",1.49,6.73,5.00
,客座利用率,%,61.43,55.84,57.46,58.56,5.59,3.97,2.46
,客運列車準點率,%,95.87,96.30,95.62,96.09,-0.43,0.25,0.27
貨運,每日平均貨運噸數,公噸,"13,679","19,643","20,437","16,760",-30.36,-33.07,-5.23
,每日平均延噸公里,噸公里,"848,387","1,328,869","1,354,796","1,096,636",-36.16,-37.38,-6.84
,每日平均貨運收入,元,"1,012,185","1,562,257","1,563,089","1,296,389",-35.21,-35.24,-4.82
,每噸平均運程,公里,62.0,67.7,66.3,65.4,-8.32,-6.44,-1.71
,平均每日每公里貨運密度,公噸,807,"1,263","1,288","1,043",-36.16,-37.38,-6.84
,每日平均貨車公里,公里,"51,340","72,158","75,769","62,096",-28.85,-32.24,-9.83
,貨車運用比率,%,42.43,43.90,42.58,43.19,-1.47,-0.15,0.58
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"267,161","254,426","287,985","521,587",5.01,-7.23,-2.74
,支出,萬元,"218,836","399,602","303,997","618,437",-45.24,-28.01,9.84
,損益,萬元,"48,325","-145,176","-16,012","-96,851",--,--,--
