Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"637,409","605,053","516,546","588,034",5.35,23.40,31.77
,每日平均延人公里,人公里,"29,791,660","27,336,485","23,642,035","27,881,290",8.98,26.01,31.63
,每日平均客運收入,元,"48,050,828","43,569,390","37,609,724","45,194,123",10.29,27.76,32.25
,每旅客平均運程,公里,46.7,45.2,45.8,47.4,3.45,2.12,-0.11
,平均每日每公里客運密度,人,"28,169","25,848","22,354","26,363",8.98,26.01,31.63
,每日平均客車公里,公里,"1,116,654","1,104,680","1,032,893","1,098,466",1.08,8.11,10.57
,客座利用率,%,58.94,54.66,49.84,56.01,4.28,9.10,9.63
,客運列車準點率,%,95.31,96.03,92.24,96.01,-0.72,3.07,1.17
貨運,每日平均貨運噸數,公噸,"19,842","18,696","17,979","18,914",6.13,10.36,-0.14
,每日平均延噸公里,噸公里,"1,396,336","1,361,043","1,238,744","1,336,723",2.59,12.72,2.69
,每日平均貨運收入,元,"1,621,048","1,555,438","1,480,469","1,539,942",4.22,9.50,-0.08
,每噸平均運程,公里,70.4,72.8,68.9,70.7,-3.33,2.14,2.84
,平均每日每公里貨運密度,公噸,"1,327","1,294","1,178","1,271",2.59,12.72,2.69
,每日平均貨車公里,公里,"69,335","74,255","72,354","73,684",-6.63,-4.17,-6.83
,貨車運用比率,%,43.21,43.26,40.65,43.08,-0.05,2.56,2.52
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"273,503","319,811","204,620","2,731,803",-14.48,33.66,31.79
,支出,萬元,"402,281","363,021","298,783","3,529,733",10.81,34.64,24.51
,損益,萬元,"-128,778","-43,210","-94,163","-797,930",--,--,--
