Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"611,118","612,770","669,219","551,943",-0.27,-8.68,-14.40
,每日平均延人公里,人公里,"27,842,651","29,289,130","30,559,823","25,392,326",-4.94,-8.89,-16.11
,每日平均客運收入,元,"43,775,506","47,113,794","47,839,694","40,856,276",-7.09,-8.50,-16.30
,每旅客平均運程,公里,45.6,47.8,45.7,46.0,-4.68,-0.23,-2.00
,平均每日每公里客運密度,人,"26,326","27,694","28,895","24,009",-4.94,-8.89,-16.11
,每日平均客車公里,公里,"997,003","1,009,345","987,922","997,831",-1.22,0.92,0.84
,客座利用率,%,60.13,62.47,66.25,54.82,-2.34,-6.12,-10.75
,客運列車準點率,%,91.23,92.10,93.58,93.26,-0.87,-2.35,2.35
貨運,每日平均貨運噸數,公噸,"17,642","18,332","19,508","20,139",-3.76,-9.57,0.09
,每日平均延噸公里,噸公里,"1,333,222","1,264,562","1,353,151","1,396,968",5.43,-1.47,-1.40
,每日平均貨運收入,元,"1,594,210","1,532,886","1,669,663","1,694,400",4.00,-4.52,-3.04
,每噸平均運程,公里,75.6,69.0,69.4,69.4,9.55,8.95,-1.49
,平均每日每公里貨運密度,公噸,"1,267","1,202","1,286","1,328",5.43,-1.47,-1.40
,每日平均貨車公里,公里,"91,196","83,413","79,333","91,583",9.33,14.95,5.01
,貨車運用效率,%,44,44,37,43,-,7,-3
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,總收入,萬元,"204,827","233,686","244,309","2,358,730",-12.35,-16.16,-10.56
,總支出,萬元,"269,170","200,417","247,454","2,855,463",34.31,8.78,3.80
,損益,萬元,"-64,343","33,269","-3,145","-496,733",--,--,--
