Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"447,011","351,631","163,728","422,177",27.13,173.02,3.56
,每日平均延人公里,人公里,"22,793,463","16,441,837","6,880,338","19,891,310",38.63,231.28,8.58
,每日平均客運收入,元,"37,552,360","27,068,323","10,994,716","32,172,310",38.73,241.55,9.97
,每旅客平均運程,公里,51.0,46.8,42.0,47.1,9.05,21.34,4.85
,平均每日每公里客運密度,人,"21,552","15,546","6,506","18,808",38.63,231.28,8.58
,每日平均客車公里,公里,"952,293","895,935","854,893","978,281",6.29,11.39,3.69
,客座利用率,%,52.44,39.96,17.05,44.22,12.48,35.39,2.67
,客運列車準點率,%,96.86,96.94,97.57,95.35,-0.08,-0.71,2.92
貨運,每日平均貨運噸數,公噸,"19,854","18,630","20,979","18,805",6.57,-5.36,-2.57
,每日平均延噸公里,噸公里,"1,337,183","1,240,422","1,425,782","1,294,614",7.80,-6.21,-2.83
,每日平均貨運收入,元,"1,559,047","1,459,010","1,693,617","1,529,512",6.86,-7.95,-4.05
,每噸平均運程,公里,67.4,66.6,68.0,68.8,1.15,-0.90,-0.28
,平均每日每公里貨運密度,公噸,"1,271","1,179","1,355","1,231",7.80,-6.21,-2.83
,每日平均貨車公里,公里,"86,857","76,724","97,939","79,228",13.21,-11.32,-9.55
,貨車運用比率,%,40.65,40.60,40.76,40.53,0.05,-0.11,-0.27
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"284,575","168,097","98,589","1,453,325",69.29,188.65,18.13
,支出,萬元,"237,488","398,999","220,911","1,963,004",-40.48,7.50,7.28
,損益,萬元,"47,087","-230,902","-122,322","-509,680",--,--,--
