Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"438,745","520,686","601,533","464,704",-15.74,-27.06,-17.67
,每日平均延人公里,人公里,"20,809,298","23,324,066","27,499,692","21,735,997",-10.78,-24.33,-15.94
,每日平均客運收入,元,"33,459,921","36,736,638","43,967,476","34,979,029",-8.92,-23.90,-15.74
,每旅客平均運程,公里,47.4,44.8,45.7,46.8,5.88,3.75,2.11
,平均每日每公里客運密度,人,"19,676","22,054","26,002","20,552",-10.78,-24.33,-15.94
,每日平均客車公里,公里,"1,021,065","1,008,239","1,002,196","1,021,276",1.27,1.88,2.17
,客座利用率,%,44.48,50.07,59.09,46.19,-5.59,-14.61,-9.39
,客運列車準點率,%,96.13,94.73,86.09,94.29,1.40,10.04,4.82
貨運,每日平均貨運噸數,公噸,"18,788","21,731","17,774","18,756",-13.54,5.70,0.05
,每日平均延噸公里,噸公里,"1,349,771","1,532,934","1,320,663","1,296,332",-11.95,2.20,5.00
,每日平均貨運收入,元,"1,567,645","1,812,465","1,580,019","1,544,904",-13.51,-0.78,3.87
,每噸平均運程,公里,71.8,70.5,74.3,69.1,1.84,-3.31,4.95
,平均每日每公里貨運密度,公噸,"1,283","1,457","1,256","1,232",-11.95,2.20,5.00
,每日平均貨車公里,公里,"74,830","89,014","80,544","77,352",-15.93,-7.09,-8.36
,貨車運用比率,%,40.45,40.45,41.02,40.48,-,-0.57,-0.35
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"216,042","239,416","216,293","824,113",-9.76,-0.12,-6.04
,支出,萬元,"286,587","266,211","273,615","1,012,758",7.65,4.74,3.15
,損益,萬元,"-70,546","-26,794","-57,322","-188,645",--,--,--
