Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"450,465","446,705","546,926","448,490",0.84,-17.64,-16.51
,每日平均延人公里,人公里,"22,179,812","20,643,871","26,624,214","21,372,792",7.44,-16.69,-14.85
,每日平均客運收入,元,"36,517,207","33,302,203","43,976,934","34,827,968",9.65,-16.96,-14.35
,每旅客平均運程,公里,49.2,46.2,48.7,47.7,6.54,1.15,1.98
,平均每日每公里客運密度,人,"20,972","19,520","25,174","20,209",7.44,-16.69,-14.85
,每日平均客車公里,公里,"1,035,106","1,022,027","1,012,623","1,028,234",1.28,2.22,2.41
,客座利用率,%,46.45,43.75,56.45,45.04,2.70,-10.00,-8.65
,客運列車準點率,%,92.68,93.56,93.19,93.14,-0.88,-0.51,4.35
貨運,每日平均貨運噸數,公噸,"15,358","18,819","16,683","17,176",-18.39,-7.94,-6.18
,每日平均延噸公里,噸公里,"1,001,126","1,274,651","1,042,569","1,144,843",-21.46,-3.98,2.77
,每日平均貨運收入,元,"1,222,934","1,546,148","1,243,481","1,392,758",-20.90,-1.65,4.09
,每噸平均運程,公里,65.2,67.7,62.5,66.7,-3.76,4.31,9.53
,平均每日每公里貨運密度,公噸,952,"1,212",991,"1,088",-21.46,-3.98,2.77
,每日平均貨車公里,公里,"60,883","83,007","74,061","72,507",-26.65,-17.79,-12.86
,貨車運用比率,%,40.60,40.44,41.12,40.52,0.16,-0.52,-0.17
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"169,710","198,945","194,439","368,655",-14.70,-12.72,-7.47
,支出,萬元,"160,251","299,709","228,452","459,960",-46.53,-29.85,4.43
,損益,萬元,"9,459","-100,764","-34,013","-91,305",--,--,--
