Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"516,546","496,520","476,916","446,261",4.03,8.31,11.34
,每日平均延人公里,人公里,"23,642,035","23,576,567","22,240,140","21,181,587",0.28,6.30,16.72
,每日平均客運收入,元,"37,609,724","37,450,687","35,216,304","34,172,940",0.42,6.80,17.81
,每旅客平均運程,公里,45.8,47.5,46.6,47.5,-3.61,-1.85,4.84
,平均每日每公里客運密度,人,"22,354","22,293","21,029","20,028",0.28,6.30,16.72
,每日平均客車公里,公里,"1,032,893","1,019,187","991,469","993,444",1.34,4.18,3.91
,客座利用率,%,49.84,50.32,48.37,46.38,-0.48,1.47,5.68
,客運列車準點率,%,92.24,92.41,92.18,94.84,-0.17,0.06,2.05
貨運,每日平均貨運噸數,公噸,"17,979","19,490","12,909","18,941",-7.75,39.28,4.87
,每日平均延噸公里,噸公里,"1,238,744","1,337,220","782,854","1,301,688",-7.36,58.23,7.82
,每日平均貨運收入,元,"1,480,469","1,613,435","938,835","1,541,206",-8.24,57.69,6.68
,每噸平均運程,公里,68.9,68.6,60.6,68.7,0.42,13.61,2.81
,平均每日每公里貨運密度,公噸,"1,178","1,271",744,"1,237",-7.36,58.23,7.82
,每日平均貨車公里,公里,"72,354","79,060","76,695","79,084",-8.48,-5.66,-7.65
,貨車運用比率,%,40.65,40.60,40.68,40.56,0.05,-0.03,-0.20
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"204,620","191,875","181,681","2,072,905",6.64,12.63,22.77
,支出,萬元,"298,783","283,125","256,000","2,834,906",5.53,16.71,7.48
,損益,萬元,"-94,163","-91,251","-74,319","-762,001",--,--,--
