Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,,實數,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"669,139","659,312","580,156","652,523",1.49,15.34,13.00
,每日平均延人公里,人公里,"30,201,685","31,767,786","25,981,114","30,100,879",-4.93,16.24,10.73
,每日平均客運收入,元,"49,207,562","51,947,483","42,162,489","48,697,654",-5.27,16.71,11.35
,每旅客平均運程,公里,45.1,48.2,44.8,46.1,-6.33,0.79,-2.01
,平均每日每公里客運密度,人,"28,557","30,038","24,566","28,461",-4.93,16.24,10.73
,每日平均客車公里,公里,"1,131,845","1,142,889","1,061,781","1,133,403",-0.97,6.60,5.54
,客座利用率,%,59.14,61.43,53.45,58.76,-2.29,5.69,3.56
,客運列車準點率,%,95.55,95.87,96.41,95.90,-0.32,-0.86,-0.12
貨運,每日平均貨運噸數,公噸,"21,048","13,679","21,722","18,221",53.87,-3.10,-4.48
,每日平均延噸公里,噸公里,"1,444,769","848,387","1,534,192","1,215,231",70.30,-5.83,-6.53
,每日平均貨運收入,元,"1,712,024","1,012,185","1,775,688","1,437,979",69.14,-3.59,-4.42
,每噸平均運程,公里,68.6,62.0,70.6,66.7,10.67,-2.81,-2.15
,平均每日每公里貨運密度,公噸,"1,373",807,"1,458","1,155",70.30,-5.83,-6.53
,每日平均貨車公里,公里,"77,810","51,340","90,989","67,449",51.56,-14.48,-11.82
,貨車運用比率,%,43.61,42.43,42.86,43.33,1.18,0.75,0.64
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"268,243","267,161","259,109","789,830",0.41,3.53,-0.70
,支出,萬元,"350,743","218,836","432,524","969,181",60.28,-18.91,-2.65
,損益,萬元,"-82,500","48,325","-173,414","-179,351",--,--,--
