Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"580,465","546,926","483,455","552,079",6.13,20.07,1.10
,每日平均延人公里,人公里,"25,705,785","26,624,214","19,831,668","25,309,211",-3.45,29.62,3.02
,每日平均客運收入,元,"40,751,777","43,976,934","31,122,589","40,693,774",-7.33,30.94,2.34
,每旅客平均運程,公里,44.3,48.7,41.0,45.8,-9.03,7.96,1.90
,平均每日每公里客運密度,人,"24,306","25,174","18,752","23,931",-3.45,29.62,3.02
,每日平均客車公里,公里,"988,650","1,012,623","992,390","998,741",-2.37,-0.38,-1.20
,客座利用率,%,55.80,56.45,42.91,54.41,-0.65,12.89,1.90
,客運列車準點率,%,94.05,93.19,96.79,90.58,0.86,-2.74,-4.88
貨運,每日平均貨運噸數,公噸,"20,521","16,683","21,786","19,070",23.01,-5.81,-4.07
,每日平均延噸公里,噸公里,"1,380,585","1,042,569","1,546,313","1,205,843",32.42,-10.72,-12.15
,每日平均貨運收入,元,"1,682,141","1,243,481","1,856,585","1,456,531",35.28,-9.40,-13.29
,每噸平均運程,公里,67.3,62.5,71.0,63.2,7.65,-5.21,-8.42
,平均每日每公里貨運密度,公噸,"1,312",991,"1,470","1,146",32.42,-10.72,-12.15
,每日平均貨車公里,公里,"90,439","74,061","99,122","85,700",22.12,-8.76,-0.34
,貨車運用比率,%,40.91,41.12,44.11,40.76,-0.21,-3.20,-1.80
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"262,411","194,439","218,541","660,815",34.96,20.07,5.45
,支出,萬元,"267,801","228,452","257,762","708,235",17.22,3.89,-0.71
,損益,萬元,"-5,390","-34,013","-39,222","-47,420",--,--,--
