Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"605,053","589,501","496,520","582,428",2.64,21.86,32.89
,每日平均延人公里,人公里,"27,336,485","28,863,806","23,576,567","27,664,362",-5.29,15.95,32.35
,每日平均客運收入,元,"43,569,390","47,454,814","37,450,687","44,869,735",-8.19,16.34,32.82
,每旅客平均運程,公里,45.2,49.0,47.5,47.5,-7.73,-4.85,-0.40
,平均每日每公里客運密度,人,"25,848","27,292","22,293","26,158",-5.29,15.95,32.35
,每日平均客車公里,公里,"1,104,680","1,115,985","1,019,187","1,096,401",-1.01,8.39,10.86
,客座利用率,%,54.66,57.75,50.32,55.67,-3.09,4.34,9.70
,客運列車準點率,%,96.03,96.26,92.41,96.09,-0.23,3.62,0.93
貨運,每日平均貨運噸數,公噸,"18,696","20,284","19,490","18,808",-7.83,-4.08,-1.27
,每日平均延噸公里,噸公里,"1,361,043","1,399,579","1,337,220","1,329,954",-2.75,1.78,1.61
,每日平均貨運收入,元,"1,555,438","1,626,418","1,613,435","1,530,732",-4.36,-3.59,-1.12
,每噸平均運程,公里,72.8,69.0,68.6,70.7,5.51,6.11,2.92
,平均每日每公里貨運密度,公噸,"1,294","1,331","1,271","1,264",-2.75,1.78,1.61
,每日平均貨車公里,公里,"74,255","76,138","79,060","74,178",-2.47,-6.08,-7.10
,貨車運用比率,%,43.26,43.31,40.60,43.07,-0.05,2.66,2.53
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"319,811","276,736","191,875","2,458,299",15.57,66.68,31.58
,支出,萬元,"363,021","364,062","283,125","3,127,451",-0.29,28.22,23.32
,損益,萬元,"-43,210","-87,326","-91,251","-669,152",--,--,--
