Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"568,846","573,744","351,631","580,657",-0.85,61.77,38.94
,每日平均延人公里,人公里,"27,425,008","26,360,649","16,441,837","27,469,386",4.04,66.80,41.64
,每日平均客運收入,元,"44,639,141","43,105,042","27,068,323","44,517,295",3.56,64.91,42.45
,每旅客平均運程,公里,48.2,45.9,46.8,47.3,4.93,3.11,1.94
,平均每日每公里客運密度,人,"25,931","24,925","15,546","25,973",4.04,66.80,41.64
,每日平均客車公里,公里,"1,117,932","1,104,669","895,935","1,088,845",1.20,24.78,10.80
,客座利用率,%,54.63,53.08,39.96,55.42,1.55,14.67,12.55
,客運列車準點率,%,96.13,96.50,96.94,96.03,-0.37,-0.81,0.93
貨運,每日平均貨運噸數,公噸,"17,825","19,658","18,630","19,099",-9.32,-4.32,2.55
,每日平均延噸公里,噸公里,"1,315,223","1,452,356","1,240,422","1,338,479",-9.44,6.03,3.97
,每日平均貨運收入,元,"1,502,835","1,674,938","1,459,010","1,543,259",-10.28,3.00,1.23
,每噸平均運程,公里,73.8,73.9,66.6,70.1,-0.13,10.81,1.39
,平均每日每公里貨運密度,公噸,"1,250","1,381","1,179","1,272",-9.44,6.03,3.97
,每日平均貨車公里,公里,"66,406","77,923","76,724","74,652",-14.78,-13.45,-4.20
,貨車運用比率,%,43.21,43.26,40.60,42.95,-0.05,2.61,2.44
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"225,235","265,475","168,097","1,566,266",-15.16,33.99,34.01
,支出,萬元,"476,259","353,701","398,999","2,085,046",34.65,19.36,20.84
,損益,萬元,"-251,025","-88,226","-230,902","-518,780",--,--,--
