Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"563,799","568,846","447,011","578,192",-0.89,26.13,36.95
,每日平均延人公里,人公里,"27,920,623","27,425,008","22,793,463","27,535,369",1.81,22.49,38.43
,每日平均客運收入,元,"45,600,846","44,639,141","37,552,360","44,675,739",2.15,21.43,38.86
,每旅客平均運程,公里,49.5,48.2,51.0,47.6,2.72,-2.88,1.08
,平均每日每公里客運密度,人,"26,400","25,931","21,552","26,036",1.81,22.49,38.43
,每日平均客車公里,公里,"1,112,923","1,117,932","952,293","1,092,366",-0.45,16.87,11.66
,客座利用率,%,56.00,54.63,52.44,55.51,1.37,3.56,11.29
,客運列車準點率,%,96.28,96.13,96.86,96.07,0.15,-0.58,0.72
貨運,每日平均貨運噸數,公噸,"15,744","17,825","19,854","18,609",-11.68,-20.70,-1.04
,每日平均延噸公里,噸公里,"1,180,470","1,315,223","1,337,183","1,315,374",-10.25,-11.72,1.60
,每日平均貨運收入,元,"1,337,999","1,502,835","1,559,047","1,513,245",-10.97,-14.18,-1.06
,每噸平均運程,公里,75.0,73.8,67.4,70.7,1.62,11.33,2.67
,平均每日每公里貨運密度,公噸,"1,122","1,250","1,271","1,250",-10.25,-11.72,1.60
,每日平均貨車公里,公里,"69,378","66,406","86,857","73,881",4.48,-20.12,-6.75
,貨車運用比率,%,43.31,43.21,40.65,43.00,0.10,2.66,2.47
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"295,485","225,235","284,575","1,861,751",31.19,3.83,28.10
,支出,萬元,"315,322","476,259","237,488","2,400,368",-33.79,32.77,22.28
,損益,萬元,"-19,837","-251,025","47,087","-538,617",--,--,--
