Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,,實數,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"601,533","580,465","428,043","564,442",3.63,40.53,9.22
,每日平均延人公里,人公里,"27,499,692","25,705,785","17,666,778","25,856,831",6.98,55.66,13.13
,每日平均客運收入,元,"43,967,476","40,751,777","28,150,430","41,512,200",7.89,56.19,12.55
,每旅客平均運程,公里,45.7,44.3,41.3,45.8,3.23,10.76,3.58
,平均每日每公里客運密度,人,"26,002","24,306","16,705","24,449",6.98,55.66,13.13
,每日平均客車公里,公里,"1,002,196","988,650","992,110","999,605",1.37,1.02,-0.66
,客座利用率,%,59.09,55.80,38.19,55.58,3.29,20.90,6.59
,客運列車準點率,%,86.09,94.05,94.90,89.47,-7.96,-8.81,-5.85
貨運,每日平均貨運噸數,公噸,"17,774","20,521","19,871","18,746",-13.39,-10.55,-5.69
,每日平均延噸公里,噸公里,"1,320,663","1,380,585","1,459,810","1,234,548",-4.34,-9.53,-11.45
,每日平均貨運收入,元,"1,580,019","1,682,141","1,741,509","1,487,403",-6.07,-9.27,-12.25
,每噸平均運程,公里,74.3,67.3,73.5,65.9,10.44,1.14,-6.11
,平均每日每公里貨運密度,公噸,"1,256","1,312","1,388","1,174",-4.34,-9.53,-11.45
,每日平均貨車公里,公里,"80,544","90,439","92,852","84,411",-10.94,-13.26,-3.74
,貨車運用比率,%,41.02,40.91,44.11,40.83,0.11,-3.09,-2.11
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"216,293","262,411","155,367","877,108",-17.57,39.21,12.16
,支出,萬元,"273,615","267,801","257,789","981,850",2.17,6.14,1.11
,損益,萬元,"-57,322","-5,390","-102,422","-104,742",--,--,--
