Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,,實數,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"645,533","580,567","589,501","640,601",11.19,9.50,10.52
,每日平均延人公里,人公里,"30,537,552","26,753,914","28,863,806","29,418,300",14.14,5.80,6.18
,每日平均客運收入,元,"49,499,479","43,111,776","47,454,814","47,230,853",14.82,4.31,4.89
,每旅客平均運程,公里,47.3,46.1,49.0,45.9,2.66,-3.38,-3.92
,平均每日每公里客運密度,人,"28,874","25,297","27,292","27,816",14.14,5.80,6.18
,每日平均客車公里,公里,"1,154,078","1,066,781","1,115,985","1,126,780",8.18,3.41,2.87
,客座利用率,%,58.87,55.71,57.75,57.87,3.16,1.12,2.07
,客運列車準點率,%,84.75,90.47,96.26,93.01,-5.72,-11.51,-3.08
貨運,每日平均貨運噸數,公噸,"14,484","14,593","20,284","15,955",-0.74,-28.59,-15.23
,每日平均延噸公里,噸公里,"912,151","949,416","1,399,579","1,073,167",-3.93,-34.83,-19.07
,每日平均貨運收入,元,"1,038,394","1,109,555","1,626,418","1,251,836",-6.41,-36.15,-18.06
,每噸平均運程,公里,63.0,65.1,69.0,67.3,-3.20,-8.73,-4.53
,平均每日每公里貨運密度,公噸,867,903,"1,331","1,020",-3.93,-34.83,-19.07
,每日平均貨車公里,公里,"66,183","69,009","76,138","68,460",-4.10,-13.08,-7.70
,貨車運用比率,%,43.82,44.02,43.31,43.65,-0.20,0.51,0.61
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"281,309","288,308","276,736","2,189,478",-2.43,1.65,2.38
,支出,萬元,"373,106","390,500","364,062","2,897,566",-4.45,2.48,4.82
,損益,萬元,"-91,797","-102,191","-87,326","-708,088",--,--,--
