Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"612,770","577,622","662,509","546,122",6.08,-7.51,-14.98
,每日平均延人公里,人公里,"29,289,130","26,677,547","30,323,749","25,151,311",9.79,-3.41,-16.83
,每日平均客運收入,元,"47,113,794","42,832,083","48,090,702","40,569,139",10.00,-2.03,-17.05
,每旅客平均運程,公里,47.8,46.2,45.8,46.1,3.49,4.43,-2.17
,平均每日每公里客運密度,人,"27,694","25,225","28,672","23,781",9.79,-3.41,-16.83
,每日平均客車公里,公里,"1,009,345","991,068","994,405","997,913",1.84,1.50,0.83
,客座利用率,%,62.47,57.89,65.43,54.29,4.58,-2.96,-11.21
,客運列車準點率,%,92.10,93.09,92.55,93.46,-0.99,-0.45,2.81
貨運,每日平均貨運噸數,公噸,"18,332","20,881","20,273","20,384",-12.21,-9.58,1.01
,每日平均延噸公里,噸公里,"1,264,562","1,467,687","1,414,426","1,403,238",-13.84,-10.60,-1.40
,每日平均貨運收入,元,"1,532,886","1,795,852","1,736,407","1,704,254",-14.64,-11.72,-2.90
,每噸平均運程,公里,69.0,70.3,69.8,68.8,-1.86,-1.13,-2.38
,平均每日每公里貨運密度,公噸,"1,202","1,395","1,345","1,334",-13.84,-10.60,-1.40
,每日平均貨車公里,公里,"83,413","101,251","83,749","91,621",-17.62,-0.40,4.12
,貨車運用效率,%,44,44,38,43,-,6,-4
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,總收入,萬元,"233,686","210,119","288,201","2,153,903",11.22,-18.92,-9.99
,總支出,萬元,"200,417","320,501","258,136","2,586,293",-37.47,-22.36,3.31
,損益,萬元,"33,269","-110,382","30,065","-432,390",--,--,--
