Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"294,451","163,728","582,872","393,224",79.84,-49.48,-26.33
,每日平均延人公里,人公里,"13,635,767","6,880,338","29,607,643","17,721,908",98.18,-53.95,-27.48
,每日平均客運收入,元,"22,094,186","10,994,716","48,289,111","28,342,050",100.95,-54.25,-28.17
,每旅客平均運程,公里,46.3,42.0,50.8,45.1,10.20,-8.83,-1.56
,平均每日每公里客運密度,人,"12,893","6,506","27,995","16,757",98.18,-53.95,-27.48
,每日平均客車公里,公里,"980,134","854,893","993,328","948,109",14.65,-1.33,-4.93
,客座利用率,%,29.86,17.05,64.31,40.01,12.81,-34.45,-12.79
,客運列車準點率,%,93.98,97.57,91.22,92.63,-3.59,2.76,-1.05
貨運,每日平均貨運噸數,公噸,"17,531","20,979","21,261","19,074",-16.44,-17.54,-7.33
,每日平均延噸公里,噸公里,"1,087,630","1,425,782","1,452,959","1,301,157",-23.72,-25.14,-7.91
,每日平均貨運收入,元,"1,302,004","1,693,617","1,741,977","1,556,785",-23.12,-25.26,-9.21
,每噸平均運程,公里,62.0,68.0,68.3,68.2,-8.71,-9.22,-0.62
,平均每日每公里貨運密度,公噸,"1,034","1,355","1,381","1,237",-23.72,-25.14,-7.91
,每日平均貨車公里,公里,"84,941","97,939","91,900","87,254",-13.27,-7.57,-4.62
,貨車運用比率,%,40.65,40.76,43.77,40.79,-0.11,-3.12,-2.63
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"120,929","98,589","294,121","1,351,225",22.66,-58.88,-20.99
,支出,萬元,"291,908","220,911","254,796","2,121,644",32.14,14.57,2.72
,損益,萬元,"-170,979","-122,322","39,326","-770,419",--,--,--
