Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"115,877","327,115","554,674","449,447",-64.58,-79.11,-13.21
,每日平均延人公里,人公里,"4,177,290","14,267,287","25,624,117","20,278,588",-70.72,-83.70,-11.66
,每日平均客運收入,元,"6,011,670","22,566,071","41,400,011","32,383,217",-73.36,-85.48,-12.53
,每旅客平均運程,公里,36.0,43.6,46.2,45.1,-17.35,-21.97,1.79
,平均每日每公里客運密度,人,"3,950","13,490","24,229","19,174",-70.72,-83.70,-11.66
,每日平均客車公里,公里,"813,630","940,103","991,587","958,589",-13.45,-17.95,-4.17
,客座利用率,%,10.88,32.49,55.70,45.34,-21.61,-44.82,-4.10
,客運列車準點率,%,97.53,94.81,91.61,91.60,2.72,5.92,-2.61
貨運,每日平均貨運噸數,公噸,"20,258","18,839","20,967","19,012",7.53,-3.38,-6.36
,每日平均延噸公里,噸公里,"1,467,499","1,486,927","1,384,601","1,316,384",-1.31,5.99,-6.16
,每日平均貨運收入,元,"1,723,127","1,782,334","1,667,500","1,576,986",-3.32,3.34,-7.03
,每噸平均運程,公里,72.4,78.9,66.0,69.2,-8.22,9.70,0.22
,平均每日每公里貨運密度,公噸,"1,395","1,414","1,316","1,251",-1.31,5.99,-6.16
,每日平均貨車公里,公里,"89,803","87,418","84,804","85,820",2.73,5.90,-3.95
,貨車運用比率,%,40.76,40.81,44.01,40.81,-0.05,-3.25,-2.50
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"108,673","145,926","227,403","1,131,707",-25.53,-52.21,-5.79
,支出,萬元,"349,446","277,528","340,076","1,608,824",25.91,2.76,1.52
,損益,萬元,"-240,773","-131,602","-112,673","-477,118",--,--,--
