Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"580,156","598,574","520,686","577,479",-3.08,11.42,22.00
,每日平均延人公里,人公里,"25,981,114","28,188,994","23,324,066","27,184,613",-7.83,11.39,23.31
,每日平均客運收入,元,"42,162,489","44,039,354","36,736,638","43,733,859",-4.26,14.77,23.24
,每旅客平均運程,公里,44.8,47.1,44.8,47.1,-4.91,-0.03,1.08
,平均每日每公里客運密度,人,"24,566","26,654","22,054","25,704",-7.83,11.39,23.31
,每日平均客車公里,公里,"1,061,781","1,070,821","1,008,239","1,073,883",-0.84,5.31,5.14
,客座利用率,%,53.45,57.46,50.07,55.20,-4.01,3.38,8.45
,客運列車準點率,%,96.41,95.62,94.73,96.02,0.79,1.68,2.34
貨運,每日平均貨運噸數,公噸,"21,722","20,437","21,731","19,075",6.29,-0.04,1.76
,每日平均延噸公里,噸公里,"1,534,192","1,354,796","1,532,934","1,300,162",13.24,0.08,1.69
,每日平均貨運收入,元,"1,775,688","1,563,089","1,812,465","1,504,514",13.60,-2.03,-2.13
,每噸平均運程,公里,70.6,66.3,70.5,68.2,6.54,0.13,-0.07
,平均每日每公里貨運密度,公噸,"1,458","1,288","1,457","1,236",13.24,0.08,1.69
,每日平均貨車公里,公里,"90,989","75,769","89,014","76,486",20.09,2.22,-2.18
,貨車運用比率,%,42.86,42.58,40.45,42.69,0.28,2.41,2.20
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"259,109","287,985","239,416","795,387",-10.03,8.23,30.80
,支出,萬元,"432,524","303,997","266,211","995,559",42.28,62.47,37.10
,損益,萬元,"-173,414","-16,012","-26,794","-200,172",--,--,--
