Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"573,404","560,515","560,702","466,451",2.30,2.27,9.89
,每日平均延人公里,人公里,"25,566,013","24,535,702","25,684,485","21,829,643",4.20,-0.46,13.34
,每日平均客運收入,元,"40,572,629","38,481,518","40,204,529","35,070,605",5.43,0.92,14.49
,每旅客平均運程,公里,44.6,43.8,45.8,46.8,1.86,-2.67,3.14
,平均每日每公里客運密度,人,"24,174","23,199","24,286","20,641",4.20,-0.46,13.34
,每日平均客車公里,公里,"1,027,475","1,019,772","994,659","998,498",0.76,3.30,3.79
,客座利用率,%,53.91,52.10,55.85,47.52,1.81,-1.94,4.54
,客運列車準點率,%,95.70,95.61,92.15,94.98,0.09,3.55,2.17
貨運,每日平均貨運噸數,公噸,"15,788","18,590","19,527","18,644",-15.07,-19.15,2.97
,每日平均延噸公里,噸公里,"1,192,912","1,328,120","1,323,311","1,294,622",-10.18,-9.85,6.20
,每日平均貨運收入,元,"1,406,079","1,543,280","1,551,935","1,529,900",-8.89,-9.40,4.54
,每噸平均運程,公里,75.6,71.4,67.8,69.4,5.76,11.49,3.13
,平均每日每公里貨運密度,公噸,"1,134","1,263","1,258","1,231",-10.18,-9.85,6.20
,每日平均貨車公里,公里,"69,493","80,629","79,766","78,396",-13.81,-12.88,-7.11
,貨車運用比率,%,42.68,42.63,40.65,40.92,0.05,2.03,0.18
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"326,092","507,973","239,373","2,906,971",-35.81,36.23,36.16
,支出,萬元,"485,938","696,978","432,073","4,017,822",-30.28,12.47,20.68
,損益,萬元,"-159,846","-189,005","-192,700","-1,110,851",--,--,--
