Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,,實數,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"580,567","642,318","563,799","639,883",-9.61,2.97,10.67
,每日平均延人公里,人公里,"26,753,914","30,003,212","27,920,623","29,255,405",-10.83,-4.18,6.25
,每日平均客運收入,元,"43,111,776","46,609,488","45,600,846","46,900,678",-7.50,-5.46,4.98
,每旅客平均運程,公里,46.1,46.7,49.5,45.7,-1.35,-6.95,-4.00
,平均每日每公里客運密度,人,"25,297","28,369","26,400","27,662",-10.83,-4.18,6.25
,每日平均客車公里,公里,"1,066,781","1,135,598","1,112,923","1,122,807",-6.06,-4.15,2.79
,客座利用率,%,55.71,58.55,56.00,57.72,-2.84,-0.29,2.21
,客運列車準點率,%,90.47,94.34,96.28,94.23,-3.87,-5.81,-1.84
貨運,每日平均貨運噸數,公噸,"14,593","15,823","15,744","16,169",-7.78,-7.31,-13.11
,每日平均延噸公里,噸公里,"949,416","1,045,451","1,180,470","1,096,602",-9.19,-19.57,-16.63
,每日平均貨運收入,元,"1,109,555","1,215,883","1,337,999","1,282,900",-8.74,-17.07,-15.22
,每噸平均運程,公里,65.1,66.1,75.0,67.8,-1.53,-13.23,-4.05
,平均每日每公里貨運密度,公噸,903,994,"1,122","1,042",-9.19,-19.57,-16.63
,每日平均貨車公里,公里,"69,009","63,634","69,378","68,791",8.45,-0.53,-6.89
,貨車運用比率,%,44.02,43.66,43.31,43.62,0.36,0.71,0.62
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"288,308","261,401","295,485","1,908,169",10.29,-2.43,2.49
,支出,萬元,"390,500","410,971","315,322","2,524,459",-4.98,23.84,5.17
,損益,萬元,"-102,191","-149,570","-19,837","-616,291",--,--,--
