Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"560,515","516,546","523,204","456,524",8.51,7.13,10.86
,每日平均延人公里,人公里,"24,535,702","23,642,035","23,903,203","21,482,855",3.78,2.65,15.10
,每日平均客運收入,元,"38,481,518","37,609,724","37,222,514","34,559,938",2.32,3.38,16.19
,每旅客平均運程,公里,43.8,45.8,45.7,47.1,-4.36,-4.19,3.83
,平均每日每公里客運密度,人,"23,199","22,354","22,601","20,313",3.78,2.65,15.10
,每日平均客車公里,公里,"1,019,772","1,032,893","988,835","995,809",-1.27,3.13,3.84
,客座利用率,%,52.10,49.84,52.23,46.91,2.26,-0.13,5.15
,客運列車準點率,%,95.61,92.24,93.70,94.91,3.37,1.91,2.04
貨運,每日平均貨運噸數,公噸,"18,590","17,979","17,097","18,909",3.40,8.73,5.20
,每日平均延噸公里,噸公里,"1,328,120","1,238,744","1,230,921","1,304,062",7.22,7.90,7.83
,每日平均貨運收入,元,"1,543,280","1,480,469","1,561,676","1,541,392",4.24,-1.18,5.92
,每噸平均運程,公里,71.4,68.9,72.0,69.0,3.69,-0.77,2.49
,平均每日每公里貨運密度,公噸,"1,263","1,178","1,170","1,240",7.22,7.90,7.83
,每日平均貨車公里,公里,"80,629","72,354","76,673","79,223",11.44,5.16,-6.61
,貨車運用比率,%,42.63,40.65,40.65,40.75,1.98,1.98,-
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"507,973","204,620","207,273","2,580,878",148.25,145.07,36.15
,支出,萬元,"696,978","298,783","259,602","3,531,884",133.27,168.48,21.91
,損益,萬元,"-189,005","-94,163","-52,330","-951,006",--,--,--
