Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"446,705","560,702","528,346","446,705",-20.33,-15.45,-15.45
,每日平均延人公里,人公里,"20,643,871","25,684,485","23,724,893","20,643,871",-19.63,-12.99,-12.99
,每日平均客運收入,元,"33,302,203","40,204,529","37,670,337","33,302,203",-17.17,-11.60,-11.60
,每旅客平均運程,公里,46.2,45.8,44.9,46.2,0.89,2.92,2.92
,平均每日每公里客運密度,人,"19,520","24,286","22,433","19,520",-19.63,-12.99,-12.99
,每日平均客車公里,公里,"1,022,027","994,659","996,295","1,022,027",2.75,2.58,2.58
,客座利用率,%,43.75,55.85,51.15,43.75,-12.10,-7.40,-7.40
,客運列車準點率,%,93.56,92.15,84.88,93.56,1.41,8.68,8.68
貨運,每日平均貨運噸數,公噸,"18,819","19,527","19,774","18,819",-3.63,-4.83,-4.83
,每日平均延噸公里,噸公里,"1,274,651","1,323,311","1,178,574","1,274,651",-3.68,8.15,8.15
,每日平均貨運收入,元,"1,546,148","1,551,935","1,423,352","1,546,148",-0.37,8.63,8.63
,每噸平均運程,公里,67.7,67.8,59.6,67.7,-0.05,13.64,13.64
,平均每日每公里貨運密度,公噸,"1,212","1,258","1,120","1,212",-3.68,8.15,8.15
,每日平均貨車公里,公里,"83,007","79,766","91,472","83,007",4.06,-9.25,-9.25
,貨車運用比率,%,40.44,40.65,40.29,40.44,-0.21,0.15,0.15
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"198,945","239,373","203,964","198,945",-16.89,-2.46,-2.46
,支出,萬元,"299,709","432,073","211,982","299,709",-30.63,41.38,41.38
,損益,萬元,"-100,764","-192,700","-8,018","-100,764",--,--,--
