Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"555,748","573,404","446,705","555,748",-3.08,24.41,24.41
,每日平均延人公里,人公里,"27,480,929","25,566,013","20,643,871","27,480,929",7.49,33.12,33.12
,每日平均客運收入,元,"45,029,298","40,572,629","33,302,203","45,029,298",10.98,35.21,35.21
,每旅客平均運程,公里,49.4,44.6,46.2,49.4,10.91,7.00,7.00
,平均每日每公里客運密度,人,"25,984","24,174","19,520","25,984",7.49,33.12,33.12
,每日平均客車公里,公里,"1,088,751","1,027,475","1,022,027","1,088,751",5.96,6.53,6.53
,客座利用率,%,54.91,53.91,43.75,54.91,1.00,11.16,11.16
,客運列車準點率,%,95.99,95.70,93.56,95.99,0.29,2.43,2.43
貨運,每日平均貨運噸數,公噸,"15,199","15,788","18,819","15,199",-3.74,-19.24,-19.24
,每日平均延噸公里,噸公里,"1,016,785","1,192,912","1,274,651","1,016,785",-14.76,-20.23,-20.23
,每日平均貨運收入,元,"1,180,433","1,406,079","1,546,148","1,180,433",-16.05,-23.65,-23.65
,每噸平均運程,公里,66.9,75.6,67.7,66.9,-11.46,-1.23,-1.23
,平均每日每公里貨運密度,公噸,967,"1,134","1,212",967,-14.76,-20.23,-20.23
,每日平均貨車公里,公里,"62,632","69,493","83,007","62,632",-9.87,-24.55,-24.55
,貨車運用比率,%,42.63,42.68,40.44,42.63,-0.05,2.19,2.19
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"248,293","326,092","198,945","248,293",-23.86,24.80,24.80
,支出,萬元,"259,039","485,938","299,709","259,039",-46.69,-13.57,-13.57
,損益,萬元,"-10,746","-159,846","-100,764","-10,746",--,--,--
