Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"560,702","523,204","600,648","424,458",7.17,-6.65,-23.67
,每日平均延人公里,人公里,"25,684,485","23,903,203","26,057,888","19,260,355",7.45,-1.43,-24.32
,每日平均客運收入,元,"40,204,529","37,222,514","40,471,861","30,632,946",8.01,-0.66,-24.96
,每旅客平均運程,公里,45.8,45.7,43.4,45.4,0.27,5.59,-0.85
,平均每日每公里客運密度,人,"24,286","22,601","24,639","18,211",7.45,-1.43,-24.32
,每日平均客車公里,公里,"994,659","988,835","938,955","962,043",0.59,5.93,-3.10
,客座利用率,%,55.85,52.23,59.92,42.98,3.62,-4.07,-12.24
,客運列車準點率,%,92.15,93.70,82.29,92.81,-1.55,9.86,0.47
貨運,每日平均貨運噸數,公噸,"19,527","17,097","16,414","18,106",14.21,18.96,-8.66
,每日平均延噸公里,噸公里,"1,323,311","1,230,921","869,887","1,219,094",7.51,52.12,-9.85
,每日平均貨運收入,元,"1,551,935","1,561,676","1,089,725","1,463,447",-0.62,42.42,-10.94
,每噸平均運程,公里,67.8,72.0,53.0,67.3,-5.87,27.88,-1.30
,平均每日每公里貨運密度,公噸,"1,258","1,170",827,"1,159",7.51,52.12,-9.85
,每日平均貨車公里,公里,"79,766","76,673","73,066","84,400",4.03,9.17,-6.24
,貨車運用比率,%,40.65,40.65,43.57,40.74,-,-2.92,-2.74
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"239,373","207,273","237,946","2,135,031",15.49,0.60,-17.79
,支出,萬元,"432,073","259,602","422,285","3,329,315",66.44,2.32,1.79
,損益,萬元,"-192,700","-52,330","-184,339","-1,194,284",--,--,--
