Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"654,533","637,409","560,515","594,007",2.69,16.77,30.12
,每日平均延人公里,人公里,"29,443,861","29,791,660","24,535,702","28,021,641",-1.17,20.00,30.44
,每日平均客運收入,元,"47,066,241","48,050,828","38,481,518","45,362,277",-2.05,22.31,31.26
,每旅客平均運程,公里,45.0,46.7,43.8,47.2,-3.75,2.77,0.25
,平均每日每公里客運密度,人,"27,840","28,169","23,199","26,496",-1.17,20.00,30.44
,每日平均客車公里,公里,"1,112,528","1,116,654","1,019,772","1,099,729",-0.37,9.10,10.44
,客座利用率,%,58.41,58.94,52.10,56.23,-0.53,6.31,9.32
,客運列車準點率,%,96.38,95.31,95.61,96.04,1.07,0.77,1.13
貨運,每日平均貨運噸數,公噸,"20,720","19,842","18,590","19,076",4.43,11.46,0.88
,每日平均延噸公里,噸公里,"1,448,923","1,396,336","1,328,120","1,346,801",3.77,9.10,3.28
,每日平均貨運收入,元,"1,703,667","1,621,048","1,543,280","1,554,648",5.10,10.39,0.86
,每噸平均運程,公里,69.9,70.4,71.4,70.6,-0.63,-2.12,2.37
,平均每日每公里貨運密度,公噸,"1,377","1,327","1,263","1,280",3.77,9.10,3.28
,每日平均貨車公里,公里,"77,770","69,335","80,629","74,051",12.17,-3.54,-6.53
,貨車運用比率,%,43.36,43.21,42.63,43.11,0.15,0.73,2.36
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"285,111","273,503","507,973","3,016,913",4.24,-43.87,16.89
,支出,萬元,"375,713","402,281","696,978","3,905,446",-6.60,-46.09,10.58
,損益,萬元,"-90,602","-128,778","-189,005","-888,532",--,--,--
