Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"351,631","300,991","115,877","417,923",16.82,203.45,-7.01
,每日平均延人公里,人公里,"16,441,837","13,186,631","4,177,290","19,394,256",24.69,293.60,-4.36
,每日平均客運收入,元,"27,068,323","20,866,884","6,011,670","31,250,865",29.72,350.26,-3.50
,每旅客平均運程,公里,46.8,43.8,36.0,46.4,6.73,29.71,2.85
,平均每日每公里客運密度,人,"15,546","12,468","3,950","18,338",24.69,293.60,-4.36
,每日平均客車公里,公里,"895,935","917,526","813,630","982,732",-2.35,10.12,2.52
,客座利用率,%,39.96,31.29,10.88,42.87,8.67,29.08,-2.47
,客運列車準點率,%,96.94,96.79,97.53,95.10,0.15,-0.59,3.50
貨運,每日平均貨運噸數,公噸,"18,630","18,115","20,258","18,625",2.84,-8.04,-2.04
,每日平均延噸公里,噸公里,"1,240,422","1,297,843","1,467,499","1,287,324",-4.42,-15.47,-2.21
,每日平均貨運收入,元,"1,459,010","1,508,624","1,723,127","1,524,454",-3.29,-15.33,-3.33
,每噸平均運程,公里,66.6,71.6,72.4,69.1,-7.06,-8.09,-0.18
,平均每日每公里貨運密度,公噸,"1,179","1,234","1,395","1,224",-4.42,-15.47,-2.21
,每日平均貨車公里,公里,"76,724","81,288","89,803","77,922",-5.61,-14.56,-9.20
,貨車運用比率,%,40.60,40.50,40.76,40.51,0.10,-0.16,-0.30
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"168,097","176,540","108,673","1,168,750",-4.78,54.68,3.27
,支出,萬元,"398,999","313,759","349,446","1,725,516",27.17,14.18,7.25
,損益,萬元,"-230,902","-137,220","-240,773","-556,767",--,--,--
