Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"300,991","438,745","327,115","431,094",-31.40,-7.99,-16.41
,每日平均延人公里,人公里,"13,186,631","20,809,298","14,267,287","19,980,829",-36.63,-7.57,-14.89
,每日平均客運收入,元,"20,866,884","33,459,921","22,566,071","32,081,834",-37.64,-7.53,-14.73
,每旅客平均運程,公里,43.8,47.4,43.6,46.3,-7.63,0.45,1.81
,平均每日每公里客運密度,人,"12,468","19,676","13,490","18,893",-36.63,-7.57,-14.89
,每日平均客車公里,公里,"917,526","1,021,065","940,103","999,977",-10.14,-2.40,1.27
,客座利用率,%,31.29,44.48,32.49,43.39,-13.19,-1.20,-7.66
,客運列車準點率,%,96.79,96.13,94.81,94.77,0.66,1.98,4.24
貨運,每日平均貨運噸數,公噸,"18,115","18,788","18,839","18,624",-3.58,-3.84,-0.75
,每日平均延噸公里,噸公里,"1,297,843","1,349,771","1,486,927","1,296,642",-3.85,-12.72,0.80
,每日平均貨運收入,元,"1,508,624","1,567,645","1,782,334","1,537,456",-3.76,-15.36,-0.68
,每噸平均運程,公里,71.6,71.8,78.9,69.6,-0.28,-9.23,1.56
,平均每日每公里貨運密度,公噸,"1,234","1,283","1,414","1,233",-3.85,-12.72,0.80
,每日平均貨車公里,公里,"81,288","74,830","87,418","78,160",8.63,-7.01,-8.08
,貨車運用比率,%,40.50,40.45,40.81,40.49,0.05,-0.31,-0.33
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"176,540","216,042","145,926","1,000,653",-18.28,20.98,-2.19
,支出,萬元,"313,759","286,587","277,528","1,326,518",9.48,13.05,5.33
,損益,萬元,"-137,220","-70,546","-131,602","-325,865",--,--,--
