Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"476,916","383,710","612,770","400,820",24.29,-22.17,-26.61
,每日平均延人公里,人公里,"22,240,140","17,361,551","29,289,130","18,147,087",28.10,-24.07,-27.85
,每日平均客運收入,元,"35,216,304","27,972,858","47,113,794","29,006,610",25.89,-25.25,-28.50
,每旅客平均運程,公里,46.6,45.2,47.8,45.3,3.06,-2.44,-1.69
,平均每日每公里客運密度,人,"21,029","16,416","27,694","17,159",28.10,-24.07,-27.85
,每日平均客車公里,公里,"991,469","984,007","1,009,345","956,073",0.76,-1.77,-4.19
,客座利用率,%,48.37,38.06,62.47,40.70,10.31,-14.10,-13.59
,客運列車準點率,%,92.18,94.67,92.10,92.79,-2.49,0.08,-0.67
貨運,每日平均貨運噸數,公噸,"12,909","15,169","18,332","18,060",-14.90,-29.58,-11.40
,每日平均延噸公里,噸公里,"782,854","885,648","1,264,562","1,207,300",-11.61,-38.09,-13.96
,每日平均貨運收入,元,"938,835","1,059,841","1,532,886","1,444,730",-11.42,-38.75,-15.23
,每噸平均運程,公里,60.6,58.4,69.0,66.8,3.87,-12.08,-2.89
,平均每日每公里貨運密度,公噸,744,842,"1,202","1,148",-11.61,-38.09,-13.96
,每日平均貨車公里,公里,"76,695","81,766","83,413","85,635",-6.20,-8.05,-6.53
,貨車運用比率,%,40.68,40.65,43.62,40.76,0.03,-2.94,-2.70
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"181,681","155,480","233,686","1,688,386",16.85,-22.25,-21.61
,支出,萬元,"256,000","259,996","200,417","2,637,640",-1.54,27.73,1.99
,損益,萬元,"-74,319","-104,517","33,269","-949,255",--,--,--
