Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"600,648","611,118","670,902","556,068",-1.71,-10.47,-14.05
,每日平均延人公里,人公里,"26,057,888","27,842,651","30,194,791","25,448,699",-6.41,-13.70,-15.91
,每日平均客運收入,元,"40,471,861","43,775,506","47,290,996","40,823,717",-7.55,-14.42,-16.15
,每旅客平均運程,公里,43.4,45.6,45.0,45.8,-4.78,-3.61,-2.15
,平均每日每公里客運密度,人,"24,639","26,326","28,550","24,063",-6.41,-13.70,-15.91
,每日平均客車公里,公里,"938,955","997,003","992,688","992,844",-5.82,-5.41,0.30
,客座利用率,%,59.92,60.13,65.32,55.22,-0.21,-5.40,-10.33
,客運列車準點率,%,82.29,91.23,91.57,92.34,-8.94,-9.28,1.37
貨運,每日平均貨運噸數,公噸,"16,414","17,642","19,136","19,823",-6.96,-14.22,-1.07
,每日平均延噸公里,噸公里,"869,887","1,333,222","1,398,734","1,352,324",-34.75,-37.81,-4.45
,每日平均貨運收入,元,"1,089,725","1,594,210","1,754,453","1,643,184",-31.64,-37.89,-6.00
,每噸平均運程,公里,53.0,75.6,73.1,68.2,-29.87,-27.50,-3.42
,平均每日每公里貨運密度,公噸,827,"1,267","1,330","1,286",-34.75,-37.81,-4.45
,每日平均貨車公里,公里,"73,066","91,196","79,254","90,014",-19.88,-7.81,4.02
,貨車運用比率,%,44,44,41,43,-,3,-3
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,總收入,萬元,"237,946","204,827","227,646","2,596,676",16.17,4.52,-9.36
,總支出,萬元,"422,285","269,170","442,592","3,277,748",56.88,-4.59,2.65
,損益,萬元,"-184,339","-64,343","-214,946","-681,072",--,--,--
