Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"528,346","600,648","627,616","528,346",-12.04,-15.82,-15.82
,每日平均延人公里,人公里,"23,724,893","26,057,888","30,424,243","23,724,893",-8.95,-22.02,-22.02
,每日平均客運收入,元,"37,670,337","40,471,861","49,634,981","37,670,337",-6.92,-24.11,-24.11
,每旅客平均運程,公里,44.9,43.4,48.5,44.9,3.51,-7.37,-7.37
,平均每日每公里客運密度,人,"22,433","24,639","28,767","22,433",-8.95,-22.02,-22.02
,每日平均客車公里,公里,"996,295","938,955","1,032,773","996,295",6.11,-3.53,-3.53
,客座利用率,%,51.15,59.92,63.92,51.15,-8.77,-12.77,-12.77
,客運列車準點率,%,84.88,82.29,93.41,84.88,2.59,-8.53,-8.53
貨運,每日平均貨運噸數,公噸,"19,774","16,414","17,205","19,774",20.47,14.93,14.93
,每日平均延噸公里,噸公里,"1,178,574","869,887","1,163,435","1,178,574",35.49,1.30,1.30
,每日平均貨運收入,元,"1,423,352","1,089,725","1,442,584","1,423,352",30.62,-1.33,-1.33
,每噸平均運程,公里,59.6,53.0,67.6,59.6,12.46,-11.86,-11.86
,平均每日每公里貨運密度,公噸,"1,120",827,"1,106","1,120",35.49,1.30,1.30
,每日平均貨車公里,公里,"91,472","73,066","71,554","91,472",25.19,27.84,27.84
,貨車運用比率,%,40.29,43.57,41.33,40.29,-3.28,-1.04,-1.04
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,總收入,萬元,"203,964","237,946","217,958","203,964",-14.28,-6.42,-6.42
,總支出,萬元,"211,982","422,285","207,270","211,982",-49.80,2.27,2.27
,損益,萬元,"-8,018","-184,339","10,688","-8,018",--,--,--
