Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"598,574","555,748","450,465","576,072",7.71,32.88,28.45
,每日平均延人公里,人公里,"28,188,994","27,480,929","22,179,812","27,816,959",2.58,27.09,30.15
,每日平均客運收入,元,"44,039,354","45,029,298","36,517,207","44,559,494",-2.20,20.60,27.94
,每旅客平均運程,公里,47.1,49.4,49.2,48.3,-4.76,-4.35,1.33
,平均每日每公里客運密度,人,"26,654","25,984","20,972","26,302",2.58,27.09,30.15
,每日平均客車公里,公里,"1,070,821","1,088,751","1,035,106","1,080,242",-1.65,3.45,5.06
,客座利用率,%,57.46,54.91,46.45,56.10,2.55,11.01,11.06
,客運列車準點率,%,95.62,95.99,92.68,95.82,-0.37,2.94,2.68
貨運,每日平均貨運噸數,公噸,"20,437","15,199","15,358","17,685",34.47,33.07,2.96
,每日平均延噸公里,噸公里,"1,354,796","1,016,785","1,001,126","1,177,197",33.24,35.33,2.83
,每日平均貨運收入,元,"1,563,089","1,180,433","1,222,934","1,362,033",32.42,27.81,-2.21
,每噸平均運程,公里,66.3,66.9,65.2,66.6,-0.91,1.69,-0.13
,平均每日每公里貨運密度,公噸,"1,288",967,952,"1,119",33.24,35.33,2.83
,每日平均貨車公里,公里,"75,769","62,632","60,883","68,866",20.98,24.45,-5.02
,貨車運用比率,%,42.58,42.63,40.60,42.61,-0.05,1.98,2.09
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"287,985","248,293","169,710","536,277",15.99,69.69,45.47
,支出,萬元,"303,997","259,039","160,251","563,036",17.36,89.70,22.41
,損益,萬元,"-16,012","-10,746","9,459","-26,758",--,--,--
