Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,,實數,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"674,515","654,533","573,404","600,845",3.05,17.63,28.81
,每日平均延人公里,人公里,"30,340,963","29,443,861","25,566,013","28,218,625",3.05,18.68,29.27
,每日平均客運收入,元,"49,946,712","47,066,241","40,572,629","45,751,640",6.12,23.10,30.46
,每旅客平均運程,公里,45.0,45.0,44.6,47.0,-0.01,0.89,0.35
,平均每日每公里客運密度,人,"28,689","27,840","24,174","26,682",3.05,18.68,29.27
,每日平均客車公里,公里,"1,123,740","1,112,528","1,027,475","1,101,769",1.01,9.37,10.34
,客座利用率,%,59.64,58.41,53.91,56.52,1.23,5.73,9.00
,客運列車準點率,%,95.39,96.38,95.70,95.98,-0.99,-0.31,1.00
貨運,每日平均貨運噸數,公噸,"17,551","20,720","15,788","18,946",-15.30,11.16,1.62
,每日平均延噸公里,噸公里,"1,322,609","1,448,923","1,192,912","1,344,746",-8.72,10.87,3.87
,每日平均貨運收入,元,"1,555,610","1,703,667","1,406,079","1,554,730",-8.69,10.63,1.62
,每噸平均運程,公里,75.4,69.9,75.6,71.0,7.77,-0.26,2.21
,平均每日每公里貨運密度,公噸,"1,257","1,377","1,134","1,278",-8.72,10.87,3.87
,每日平均貨車公里,公里,"67,896","77,770","69,493","73,529",-12.70,-2.30,-6.21
,貨車運用比率,%,43.36,43.36,42.68,43.13,-,0.68,2.21
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"327,380","285,111","326,092","3,344,293",14.83,0.39,15.04
,支出,萬元,"582,655","375,713","485,938","4,488,100",55.08,19.90,11.69
,損益,萬元,"-255,274","-90,602","-159,846","-1,143,807",--,--,--
