Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"492,047","447,011","294,451","431,090",10.07,67.11,9.63
,每日平均延人公里,人公里,"25,227,243","22,793,463","13,635,767","20,572,026",10.68,85.01,16.08
,每日平均客運收入,元,"41,245,868","37,552,360","22,094,186","33,329,842",9.84,86.68,17.60
,每旅客平均運程,公里,51.3,51.0,46.3,47.7,0.55,10.71,5.89
,平均每日每公里客運密度,人,"23,853","21,552","12,893","19,452",10.68,85.01,16.08
,每日平均客車公里,公里,"1,032,778","952,293","980,134","985,233",8.45,5.37,3.92
,客座利用率,%,53.13,52.44,29.86,45.41,0.69,23.27,5.40
,客運列車準點率,%,96.63,96.86,93.98,95.52,-0.23,2.65,2.89
貨運,每日平均貨運噸數,公噸,"20,298","19,854","17,531","18,995",2.24,15.78,-0.41
,每日平均延噸公里,噸公里,"1,378,618","1,337,183","1,087,630","1,305,331",3.10,26.75,0.32
,每日平均貨運收入,元,"1,612,010","1,559,047","1,302,004","1,540,037",3.40,23.81,-1.08
,每噸平均運程,公里,67.9,67.4,62.0,68.7,0.84,9.48,0.74
,平均每日每公里貨運密度,公噸,"1,311","1,271","1,034","1,241",3.10,26.75,0.32
,每日平均貨車公里,公里,"84,850","86,857","84,941","79,946",-2.31,-0.11,-8.38
,貨車運用比率,%,40.60,40.65,40.65,40.54,-0.05,-0.05,-0.25
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"223,085","284,575","120,929","1,676,410",-21.61,84.48,24.07
,支出,萬元,"289,993","237,488","291,908","2,252,997",22.11,-0.66,6.19
,損益,萬元,"-66,907","47,087","-170,979","-576,587",--,--,--
