Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"383,710","294,451","577,622","392,179",30.31,-33.57,-27.18
,每日平均延人公里,人公里,"17,361,551","13,635,767","26,677,547","17,682,308",27.32,-34.92,-28.36
,每日平均客運收入,元,"27,972,858","22,094,186","42,832,083","28,301,480",26.61,-34.69,-28.94
,每旅客平均運程,公里,45.2,46.3,46.2,45.1,-2.29,-2.03,-1.62
,平均每日每公里客運密度,人,"16,416","12,893","25,225","16,719",27.32,-34.92,-28.36
,每日平均客車公里,公里,"984,007","980,134","991,068","952,054",0.40,-0.71,-4.47
,客座利用率,%,38.06,29.86,57.89,39.79,8.20,-19.83,-13.57
,客運列車準點率,%,94.67,93.98,93.09,92.86,0.69,1.58,-0.75
貨運,每日平均貨運噸數,公噸,"15,169","17,531","20,881","18,645",-13.48,-27.36,-9.56
,每日平均延噸公里,噸公里,"885,648","1,087,630","1,467,687","1,255,497",-18.57,-39.66,-11.52
,每日平均貨運收入,元,"1,059,841","1,302,004","1,795,852","1,502,176",-18.60,-40.98,-12.85
,每噸平均運程,公里,58.4,62.0,70.3,67.3,-5.89,-16.93,-2.16
,平均每日每公里貨運密度,公噸,842,"1,034","1,395","1,194",-18.57,-39.66,-11.52
,每日平均貨車公里,公里,"81,766","84,941","101,251","86,651",-3.74,-19.24,-6.37
,貨車運用比率,%,40.65,40.65,43.62,40.77,-,-2.97,-2.67
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"155,480","120,929","210,119","1,506,705",28.57,-26.00,-21.53
,支出,萬元,"259,996","291,908","320,501","2,381,641",-10.93,-18.88,-0.18
,損益,萬元,"-104,517","-170,979","-110,382","-874,936",--,--,--
