Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,,實數,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"647,703","652,319","573,744","651,500",-0.71,12.89,11.75
,每日平均延人公里,人公里,"28,460,645","29,349,117","26,360,649","29,617,984",-3.03,7.97,7.79
,每日平均客運收入,元,"46,092,839","46,491,004","43,105,042","47,730,886",-0.86,6.93,7.28
,每旅客平均運程,公里,43.9,45.0,45.9,45.5,-2.34,-4.36,-3.55
,平均每日每公里客運密度,人,"26,911","27,751","24,925","28,005",-3.03,7.97,7.79
,每日平均客車公里,公里,"1,122,042","1,136,558","1,104,669","1,131,708",-1.28,1.57,4.49
,客座利用率,%,56.14,57.29,53.08,57.94,-1.15,3.06,2.36
,客運列車準點率,%,95.40,91.49,96.50,94.93,3.91,-1.10,-1.08
貨運,每日平均貨運噸數,公噸,"15,744","12,360","19,658","16,559",27.38,-19.91,-14.44
,每日平均延噸公里,噸公里,"1,154,482","880,191","1,452,356","1,136,715",31.16,-20.51,-15.37
,每日平均貨運收入,元,"1,336,120","1,003,641","1,674,938","1,331,480",33.13,-20.23,-14.17
,每噸平均運程,公里,73.3,71.2,73.9,68.6,2.97,-0.75,-1.09
,平均每日每公里貨運密度,公噸,"1,098",837,"1,381","1,081",31.16,-20.51,-15.37
,每日平均貨車公里,公里,"84,532","61,532","77,923","69,765",37.38,8.48,-8.55
,貨車運用比率,%,43.81,43.86,43.26,43.53,-0.05,0.55,0.63
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"306,833","261,797","265,475","1,358,459",17.20,15.58,1.30
,支出,萬元,"414,992","338,815","353,701","1,722,989",22.48,17.33,7.10
,損益,萬元,"-108,160","-77,019","-88,226","-364,529",--,--,--
