Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"589,501","563,799","492,047","579,634",4.56,19.81,34.46
,每日平均延人公里,人公里,"28,863,806","27,920,623","25,227,243","27,704,841",3.38,14.42,34.67
,每日平均客運收入,元,"47,454,814","45,600,846","41,245,868","45,030,271",4.07,15.05,35.10
,每旅客平均運程,公里,49.0,49.5,51.3,47.8,-1.13,-4.50,0.16
,平均每日每公里客運密度,人,"27,292","26,400","23,853","26,196",3.38,14.42,34.67
,每日平均客車公里,公里,"1,115,985","1,112,923","1,032,778","1,095,379",0.28,8.06,11.18
,客座利用率,%,57.75,56.00,53.13,55.80,1.75,4.62,10.39
,客運列車準點率,%,96.26,96.28,96.63,96.09,-0.02,-0.37,0.57
貨運,每日平均貨運噸數,公噸,"20,284","15,744","20,298","18,822",28.84,-0.07,-0.91
,每日平均延噸公里,噸公里,"1,399,579","1,180,470","1,378,618","1,326,116",18.56,1.52,1.59
,每日平均貨運收入,元,"1,626,418","1,337,999","1,612,010","1,527,682",21.56,0.89,-0.80
,每噸平均運程,公里,69.0,75.0,67.9,70.5,-7.97,1.59,2.53
,平均每日每公里貨運密度,公噸,"1,331","1,122","1,311","1,261",18.56,1.52,1.59
,每日平均貨車公里,公里,"76,138","69,378","84,850","74,169",9.74,-10.27,-7.23
,貨車運用比率,%,43.31,43.31,40.60,43.04,-,2.71,2.50
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"276,736","295,485","223,085","2,138,488",-6.35,24.05,27.56
,支出,萬元,"364,062","315,322","289,993","2,764,430",15.46,25.54,22.70
,損益,萬元,"-87,326","-19,837","-66,907","-625,943",--,--,--
