Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"523,204","476,916","611,118","411,812",9.71,-14.39,-25.39
,每日平均延人公里,人公里,"23,903,203","22,240,140","27,842,651","18,664,103",7.48,-14.15,-26.50
,每日平均客運收入,元,"37,222,514","35,216,304","43,775,506","29,744,565",5.70,-14.97,-27.20
,每旅客平均運程,公里,45.7,46.6,45.6,45.3,-2.03,0.28,-1.49
,平均每日每公里客運密度,人,"22,601","21,029","26,326","17,648",7.48,-14.15,-26.50
,每日平均客車公里,公里,"988,835","991,469","997,003","959,016",-0.27,-0.82,-3.89
,客座利用率,%,52.23,48.37,60.13,41.76,3.86,-7.90,-13.06
,客運列車準點率,%,93.70,92.18,91.23,92.87,1.52,2.47,-0.39
貨運,每日平均貨運噸數,公噸,"17,097","12,909","17,642","17,974",32.44,-3.09,-10.75
,每日平均延噸公里,噸公里,"1,230,921","782,854","1,333,222","1,209,422",57.24,-7.67,-13.43
,每日平均貨運收入,元,"1,561,676","938,835","1,594,210","1,455,234",66.34,-2.04,-14.12
,每噸平均運程,公里,72.0,60.6,75.6,67.3,18.72,-4.73,-3.00
,平均每日每公里貨運密度,公噸,"1,170",744,"1,267","1,150",57.24,-7.67,-13.43
,每日平均貨車公里,公里,"76,673","76,695","91,196","84,830",-0.03,-15.93,-7.37
,貨車運用比率,%,40.65,40.68,43.62,40.75,-0.03,-2.97,-2.73
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"207,273","181,681","204,827","1,895,658",14.09,1.19,-19.63
,支出,萬元,"259,602","256,000","269,170","2,897,242",1.41,-3.55,1.46
,損益,萬元,"-52,330","-74,319","-64,343","-1,001,584",--,--,--
