Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"496,520","492,047","383,710","438,280",0.91,29.40,11.76
,每日平均延人公里,人公里,"23,576,567","25,227,243","17,361,551","20,902,195",-6.54,35.80,18.21
,每日平均客運收入,元,"37,450,687","41,245,868","27,972,858","33,782,682",-9.20,33.88,19.37
,每旅客平均運程,公里,47.5,51.3,45.2,47.7,-7.39,4.94,5.78
,平均每日每公里客運密度,人,"22,293","23,853","16,416","19,764",-6.54,35.80,18.21
,每日平均客車公里,公里,"1,019,187","1,032,778","984,007","988,965",-1.32,3.58,3.88
,客座利用率,%,50.32,53.13,38.06,45.97,-2.81,12.26,6.18
,客運列車準點率,%,92.41,96.63,94.67,95.16,-4.22,-2.26,2.30
貨運,每日平均貨運噸數,公噸,"19,490","20,298","15,169","19,050",-3.98,28.49,2.17
,每日平均延噸公里,噸公里,"1,337,220","1,378,618","885,648","1,308,835",-3.00,50.99,4.25
,每日平均貨運收入,元,"1,613,435","1,612,010","1,059,841","1,548,102",0.09,52.23,3.06
,每噸平均運程,公里,68.6,67.9,58.4,68.7,1.02,17.51,2.03
,平均每日每公里貨運密度,公噸,"1,271","1,311",842,"1,244",-3.00,50.99,4.25
,每日平均貨車公里,公里,"79,060","84,850","81,766","79,848",-6.82,-3.31,-7.85
,貨車運用比率,%,40.60,40.60,40.65,40.54,-,-0.05,-0.23
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"191,875","223,085","155,480","1,868,285",-13.99,23.41,24.00
,支出,萬元,"283,125","289,993","259,996","2,536,122",-2.37,8.90,6.49
,損益,萬元,"-91,251","-66,907","-104,517","-667,838",--,--,--
