Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,實數,,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"520,686","450,465","580,465","473,357",15.59,-10.30,-14.26
,每日平均延人公里,人公里,"23,324,066","22,179,812","25,705,785","22,044,897",5.16,-9.27,-12.90
,每日平均客運收入,元,"36,736,638","36,517,207","40,751,777","35,485,399",0.60,-9.85,-12.80
,每旅客平均運程,公里,44.8,49.2,44.3,46.6,-9.02,1.15,1.59
,平均每日每公里客運密度,人,"22,054","20,972","24,306","20,844",5.16,-9.27,-12.90
,每日平均客車公里,公里,"1,008,239","1,035,106","988,650","1,021,347",-2.60,1.98,2.26
,客座利用率,%,50.07,46.45,55.80,46.75,3.62,-5.73,-7.66
,客運列車準點率,%,94.73,92.68,94.05,93.68,2.05,0.68,3.10
貨運,每日平均貨運噸數,公噸,"21,731","15,358","20,521","18,745",41.50,5.90,-1.70
,每日平均延噸公里,噸公里,"1,532,934","1,001,126","1,380,585","1,278,518",53.12,11.04,6.03
,每日平均貨運收入,元,"1,812,465","1,222,934","1,682,141","1,537,324",48.21,7.75,5.55
,每噸平均運程,公里,70.5,65.2,67.3,68.2,8.21,4.85,7.86
,平均每日每公里貨運密度,公噸,"1,457",952,"1,312","1,215",53.12,11.04,6.03
,每日平均貨車公里,公里,"89,014","60,883","90,439","78,193",46.21,-1.58,-8.76
,貨車運用比率,%,40.45,40.60,40.91,40.49,-0.15,-0.46,-0.27
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"239,416","169,710","262,411","608,072",41.07,-8.76,-7.98
,支出,萬元,"266,211","160,251","267,801","726,171",66.12,-0.59,2.53
,損益,萬元,"-26,794","9,459","-5,390","-118,099",--,--,--
