Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,,,,實數,,,"比較增減
(%或百分點)",,
類別,統計項目,單位,本月,上月,上年同月,本年累計,本月與上月,"本月與
上年同月","本年累計與
上年同期"
客運,每日平均客運人數,人次,"629,556","674,515","555,748","629,556",-6.67,13.28,13.28
,每日平均延人公里,人公里,"28,440,708","30,340,963","27,480,929","28,440,708",-6.26,3.49,3.49
,每日平均客運收入,元,"45,147,583","49,946,712","45,029,298","45,147,583",-9.61,0.26,0.26
,每旅客平均運程,公里,45.2,45.0,49.4,45.2,0.43,-8.64,-8.64
,平均每日每公里客運密度,人,"26,892","28,689","25,984","26,892",-6.26,3.49,3.49
,每日平均客車公里,公里,"1,126,086","1,123,740","1,088,751","1,126,086",0.21,3.43,3.43
,客座利用率,%,55.84,59.64,54.91,55.84,-3.80,0.93,0.93
,客運列車準點率,%,96.30,95.39,95.99,96.30,0.91,0.31,0.31
貨運,每日平均貨運噸數,公噸,"19,643","17,551","15,199","19,643",11.92,29.24,29.24
,每日平均延噸公里,噸公里,"1,328,869","1,322,609","1,016,785","1,328,869",0.47,30.69,30.69
,每日平均貨運收入,元,"1,562,257","1,555,610","1,180,433","1,562,257",0.43,32.35,32.35
,每噸平均運程,公里,67.7,75.4,66.9,67.7,-10.23,1.12,1.12
,平均每日每公里貨運密度,公噸,"1,263","1,257",967,"1,263",0.47,30.69,30.69
,每日平均貨車公里,公里,"72,158","67,896","62,632","72,158",6.28,15.21,15.21
,貨車運用比率,%,43.90,43.36,42.63,43.90,0.54,1.27,1.27
,貨運列車準點率,%,100.00,100.00,100.00,100.00,-,-,-
財務,收入,萬元,"254,426","327,380","248,293","254,426",-22.28,2.47,2.47
,支出,萬元,"399,602","582,655","259,039","399,602",-31.42,54.26,54.26
,損益,萬元,"-145,176","-255,274","-10,746","-145,176",--,--,--
